PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
201588, George Hill, 1610612754, IND, 43, 26, 17, 29.47, 29.47, 10745.44, 2.04, 1.12, 0.92, 4.15, 3.84
101123, Gerald Green, 1610612756, PHX, 74, 34, 40, 19.54, 19.54, 7224.91, 1.37, 0.7, 0.67, 4.21, 4.0
201945, Gerald Henderson, 1610612766, CHA, 80, 32, 48, 28.94, 28.94, 11129.79, 2.11, 1.15, 0.95, 4.38, 4.01
2222, Gerald Wallace, 1610612738, BOS, 32, 15, 17, 8.94, 8.94, 3269.66, 0.62, 0.32, 0.3, 4.16, 3.9
203507, Giannis Antetokounmpo, 1610612749, MIL, 80, 40, 40, 31.35, 31.35, 11551.85, 2.19, 1.14, 1.04, 4.19, 3.84
203540, Gigi Datome, 1610612738, BOS, 21, 11, 10, 9.96, 9.96, 3746.81, 0.71, 0.38, 0.33, 4.28, 3.93
201175, Glen Davis, 1610612746, LAC, 74, 52, 22, 12.22, 12.22, 4289.47, 0.81, 0.4, 0.41, 3.99, 3.98
203318, Glen Rice, 1610612764, WAS, 5, 4, 1, 8.52, 8.52, 3253.0, 0.62, 0.33, 0.28, 4.37, 4.18
203922, Glenn Robinson III, 1610612755, PHI, 35, 2, 33, 7.45, 7.45, 2863.29, 0.54, 0.29, 0.25, 4.37, 4.1
201609, Goran Dragic, 1610612748, MIA, 78, 41, 37, 33.85, 33.85, 13240.17, 2.51, 1.34, 1.17, 4.45, 4.07
202330, Gordon Hayward, 1610612762, UTA, 76, 35, 41, 34.44, 34.44, 12809.99, 2.43, 1.38, 1.05, 4.23, 3.78
203476, Gorgui Dieng, 1610612750, MIN, 72, 16, 56, 30.27, 30.27, 10380.86, 1.97, 1.01, 0.96, 3.9, 3.87
203511, Grant Jerrett, 1610612762, UTA, 8, 6, 2, 6.37, 6.37, 2420.88, 0.46, 0.26, 0.2, 4.35, 4.06
202328, Greg Monroe, 1610612765, DET, 69, 25, 44, 30.97, 30.97, 10935.01, 2.07, 1.1, 0.97, 4.01, 3.87
202962, Greg Smith, 1610612742, DAL, 42, 27, 15, 8.64, 8.64, 2979.29, 0.56, 0.29, 0.27, 3.93, 3.74
201880, Greg Stiemsma, 1610612761, TOR, 17, 13, 4, 3.86, 3.86, 1379.18, 0.26, 0.15, 0.11, 4.02, 3.87
202349, Greivis Vasquez, 1610612761, TOR, 82, 49, 33, 24.28, 24.28, 8914.38, 1.69, 0.9, 0.78, 4.18, 3.94
203084, Harrison Barnes, 1610612744, GSW, 82, 67, 15, 28.27, 28.27, 11322.1, 2.14, 1.1, 1.05, 4.49, 4.05
