PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, GP, W, L, MIN, MIN1, DIST_FEET, DIST_MILES, DIST_MILES_OFF, DIST_MILES_DEF, AVG_SPEED, AVG_SPEED_DEF
203521, Matthew Dellavedova, 1610612739, CLE, 72, 29, 43, 17.65, 17.65, 6938.28, 1.31, 0.68, 0.64, 4.48, 4.18
203090, Maurice Harkless, 1610612753, ORL, 80, 22, 58, 24.37, 24.37, 9452.25, 1.79, 0.94, 0.85, 4.42, 4.24
2408, Melvin Ely, 1610612740, NOP, 2, 2, 0, 13.62, 13.62, 4692.5, 0.89, 0.49, 0.4, 3.97, 3.55
1897, Metta World Peace, 1610612752, NYK, 29, 10, 19, 13.39, 13.39, 4713.38, 0.89, 0.45, 0.44, 4.03, 3.98
203086, Meyers Leonard, 1610612757, POR, 40, 20, 20, 8.88, 8.88, 3360.38, 0.64, 0.34, 0.29, 4.32, 4.09
201563, Michael Beasley, 1610612748, MIA, 55, 36, 19, 15.12, 15.12, 5681.91, 1.08, 0.57, 0.51, 4.28, 4.09
203487, Michael Carter-Williams, 1610612755, PHI, 70, 18, 52, 34.48, 34.48, 13964.19, 2.64, 1.41, 1.23, 4.61, 4.1
203077, Michael Kidd-Gilchrist, 1610612766, CHA, 61, 34, 27, 24.12, 24.12, 9486.56, 1.8, 0.94, 0.86, 4.49, 4.37
201144, Mike Conley, 1610612763, MEM, 73, 46, 27, 33.51, 33.51, 12509.55, 2.37, 1.33, 1.04, 4.25, 3.92
2399, Mike Dunleavy, 1610612741, CHI, 82, 48, 34, 31.51, 31.51, 12540.44, 2.38, 1.37, 1.01, 4.53, 3.98
200839, Mike Harris, 1610612762, UTA, 20, 1, 19, 11.24, 11.24, 4151.85, 0.79, 0.41, 0.38, 4.19, 4.04
2229, Mike James, 1610612741, CHI, 11, 3, 8, 7.01, 7.01, 2597.36, 0.49, 0.28, 0.21, 4.19, 3.82
2034, Mike Miller, 1610612763, MEM, 82, 50, 32, 20.81, 20.81, 7756.8, 1.47, 0.81, 0.65, 4.24, 3.91
203488, Mike Muscala, 1610612737, ATL, 20, 10, 10, 10.75, 10.75, 4314.9, 0.82, 0.44, 0.38, 4.56, 4.32
203118, Mike Scott, 1610612737, ATL, 79, 36, 43, 18.4, 18.4, 7078.14, 1.34, 0.72, 0.62, 4.38, 3.91
203101, Miles Plumlee, 1610612756, PHX, 80, 47, 33, 24.55, 24.55, 9321.73, 1.77, 0.94, 0.83, 4.32, 4.0
203545, Miroslav Raduljica, 1610612749, MIL, 48, 7, 41, 9.68, 9.68, 3476.1, 0.66, 0.35, 0.31, 4.09, 3.99
203141, Mirza Teletovic, 1610612751, BKN, 71, 40, 31, 19.34, 19.34, 7116.77, 1.35, 0.72, 0.63, 4.21, 3.96
2590, Mo Williams, 1610612757, POR, 74, 49, 25, 24.77, 24.77, 9317.82, 1.76, 0.97, 0.8, 4.28, 3.93
101145, Monta Ellis, 1610612742, DAL, 82, 49, 33, 36.86, 36.86, 13529.9, 2.56, 1.39, 1.17, 4.18, 3.84
201203, Mustafa Shakur, 1610612760, OKC, 3, 2, 1, 3.83, 3.83, 1414.0, 0.27, 0.14, 0.13, 4.19, 4.2
201986, Nando De Colo, 1610612761, TOR, 47, 36, 11, 10.52, 10.52, 4423.15, 0.84, 0.47, 0.36, 4.79, 4.31
101126, Nate Robinson, 1610612743, DEN, 44, 22, 22, 19.68, 19.68, 7408.39, 1.4, 0.74, 0.66, 4.29, 3.99
203489, Nate Wolters, 1610612749, MIL, 57, 10, 47, 22.33, 22.33, 8620.33, 1.63, 0.92, 0.72, 4.4, 3.9
1737, Nazr Mohammed, 1610612741, CHI, 80, 47, 33, 7.03, 7.03, 2354.39, 0.45, 0.23, 0.21, 3.82, 3.82
203517, Nemanja Nedovic, 1610612744, GSW, 23, 16, 7, 5.85, 5.85, 2231.91, 0.42, 0.23, 0.19, 4.35, 4.08
2403, Nene, 1610612764, WAS, 53, 30, 23, 29.44, 29.44, 10227.92, 1.94, 1.0, 0.94, 3.95, 3.8
